,AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,UNH,UTX,VZ,WMT,XOM
2012-01-10,0.0220994475138,0.00949166842438,0.0104690117253,0.142114384749,0.0635793642064,0.0105204872647,-0.011893434824,0.0135900339751,0.0344553405778,0.0198863636364,0.0329188002926,0.00272161741835,-0.0268171806167,0.0430292598967,-0.0104712041885,0.037876528482,-0.0115146147033,0.00873684210526,0.00965346534653,0.00576764625103,0.0401716068643,-0.001443001443,-0.00754005655042,-0.00604551920341,0.0187620550587,0.0217606330366,0.0183537263626,-0.0167386609071,-0.0213241616509,-0.00326205146792
2012-01-11,0.0194384449244,0.014544688027,0.00543554006969,0.181660899654,0.0504632152589,0.00380228136882,-0.0219214639726,0.00582437275986,-0.00392054364872,0.017425519955,0.0168269230769,0.00155642023346,-0.0173614950791,0.0277544154752,-0.00526819923372,0.0489033787789,-0.0234769687964,0.00544331623574,-0.00490978274211,0.00192043895748,0.0118140243902,0.00582524271845,-0.016815967311,0.0,0.0197217820039,0.0148205928237,0.0219947433947,0.00492476060192,-0.00503909643788,-0.0109916656601
2012-01-12,0.0610687022901,0.0172952698479,0.0269089884475,0.0765550239234,0.0672077922078,0.0119956379498,-0.0378284724228,0.0300022558087,-0.0195372750643,0.0208098987627,0.00691463996185,0.0167903162827,-0.0222777777778,0.0137157107232,-0.00271695700815,0.0328106852497,-0.0256793072559,0.00739968733715,0.00567200986437,-0.00325821341298,0.0116937004904,0.0181017612524,-0.0107306296355,0.00533049040512,0.00802092414996,0.00522951772225,0.0391061452514,0.0123966942149,0.00139689191549,-0.0118730312576
2012-01-13,0.0701559020045,0.0307562671161,0.00840218456799,0.0700325732899,0.0701716506531,0.0109469074986,-0.0205545859996,0.0512468542668,-0.0379038412618,0.010067114094,0.00737392959087,0.00352802822423,-0.0184904175799,-0.00459866220736,0.00661077071912,0.0161148549663,-0.0279447115385,-0.00248215947875,0.00285076846802,-0.00382827454197,0.00520059435364,0.0122488975992,-0.00822654643253,0.012912482066,0.000348614258323,-0.00154410345493,0.0295026692891,0.0151933701657,0.00914366098119,-0.0028076171875
2012-01-17,0.0357142857143,0.0378310214376,0.00959132610509,0.0337078651685,0.0645161290323,0.0179445350734,-0.0253213121044,0.0453720508167,-0.0319284802043,-0.00608407079646,0.0118849536487,0.000782778864971,-0.00875656742557,-0.0169912971405,0.00289761751449,-0.0111502347418,-0.0228365384615,0.00908426438342,0.00431193790809,0.0112328767123,0.0188182160331,0.00532687651332,-0.00567107750473,0.0197415649677,0.0,0.016231884058,0.0396469599328,0.0171128898703,0.0113955119215,0.00218738607364
2012-01-18,0.0616216216216,0.0388633514417,0.000828843762951,0.0257966616085,0.0476781466543,0.0378082191781,-0.0204140587386,0.0491620111732,-0.0153727901614,0.0161559888579,0.0311614730878,0.011632415665,-0.00130142024557,-0.00783828382838,0.00128266794933,0.0135057471264,-0.0250896057348,0.0186789105708,0.0091934297622,0.00901146914255,0.0138732658418,0.0014450867052,0.00348211459323,0.0193202146691,-0.00344234079174,0.0251694094869,0.0206171490989,0.0115321252059,0.0163415919873,0.00848484848485
2012-01-19,0.0572033898305,0.0409308123831,0.0109509287497,0.01317715959,0.0660925503216,0.0378787878788,-0.00779575131553,0.0445434298441,0.0191550774075,0.014364640884,0.0446808510638,0.0190365190365,-0.00990321854603,-0.00654664484452,0.000962927298989,0.00734670810964,-0.00882531953743,0.0133263925039,0.024299987665,0.0219058050383,0.0143126177024,-0.00289575289575,0.014226342711,0.0141995030174,0.00656190640649,-0.0130668716372,0.00636166756903,0.00272257010618,0.0202584701362,0.0229604298974
2012-01-20,0.0246659815005,0.00798852929127,0.000137193030594,0.0414814814815,0.0409694757124,0.0404094827586,0.0182072829132,0.0275952693824,0.0152071316203,0.0115702479339,0.0258110348094,0.0437788018433,0.0441502358089,0.0246002460025,0.000641025641026,0.0140567894293,0.00766166104812,0.0116904614111,0.0163070132418,0.0152546989921,0.0611483967189,-0.00432484382508,0.0143563566757,0.0130788264404,0.0299256184051,-0.0113680154143,-0.00712365591398,0.00136054421769,0.0254577157803,0.0323688082393
2012-01-23,0.0457856399584,-0.00633558144288,0.0122205249271,0.0974124809741,0.0425703621507,0.0406063887385,0.00871114630766,0.0195865070729,0.0222104706504,0.00553709856035,0.0314049586777,0.082421875,0.060352725607,0.062578748425,-0.00400448502323,0.0484429065744,0.0228748068006,0.00601347848626,0.0239772586825,0.0118034586879,0.0524759793052,-0.00580832526621,-0.00446642207689,0.0109773371105,0.0155079282105,-0.00502609704234,0.0103711790393,-0.0133333333333,0.0230005227392,0.0304810870364
2012-01-24,0.0522466039707,-0.0196435803969,0.00151452567809,0.125776397516,0.032903290329,0.0261752136752,0.0,0.0180121527778,0.0200527704485,0.00500834724541,0.0279539581865,0.0778255768479,0.0662259204377,0.0741989881956,-0.00192616372392,0.0789317507418,0.0079950799508,-0.0179014900662,0.0201177625123,-0.00108371714982,0.0380495012929,-0.0130057803468,-0.0188529784537,-0.00527983104541,-0.0282495667244,-0.041833048108,0.00956744374074,-0.0314789687924,0.0256543595077,0.0173396386565
